# TAGS -- 1460 distinct after exclusions
# count	locations	tag
1	1	peer northeast =~ /^Obvious exits: north, northeast, southwest, west$/
1	1	peer northeast =~ /^Obvious exits: north, northeast, southwest, west, down$/
1	1	peer northeast =~ /^Obvious exits: northeast, east, south, southwest, down$/
1	1	peer northeast =~ /^Obvious paths: east, southwest/
1	1	peer northeast =~ /^Obvious paths: north, southwest, west, northwest$/
1	1	peer northeast =~ /^Obvious paths: south, southwest, west, northwest$/
1	1	peer northwest =~ /^Obvious paths: southeast, northwest/
1	1	peer opening =~ /Twilight, West Tapestry Room/
1	1	peer opening =~ /You also see a curtained opening and a steel door\./
1	1	peer opening =~ /^Obvious exits: east, west$/
1	1	peer opening =~ /^Obvious exits: north$/
1	1	peer opening =~ /^Obvious exits: north, east, south$/
1	1	peer opening =~ /^Obvious exits: north, south, west$/
1	1	peer opening =~ /^Obvious exits: west$/
1	1	peer opening =~ /^\[Paupers, Hallway\]/
1	1	peer out =~ /^\[Beacon Hall, Storage Room\]$/
1	1	peer out =~ /^\[Helden Hall, Commons\]$/
1	0	peer passage =~ /^\[The Heart of the Art, Icemule\]/
1	0	peer passage =~ /^\[The Heart of the Art, Solhaven\]/
1	1	peer se =~ /Obvious paths: north, northeast, south, northwest/
1	1	peer se =~ /Obvious paths: south, northwest/
1	1	peer se =~ /Obvious paths: southeast, northwest/
1	1	peer se =~ /expansive stone door/
1	1	peer south =~ /Obvious exits: north, south/
1	1	peer south =~ /^Obvious exits: north, south$/
1	1	peer south =~ /^Obvious paths: north, east, southeast, west/
1	1	peer south =~ /expansive stone door/
1	1	peer southeast =~ /^Obvious paths: north, northeast, east, south, southwest, west, northwest$/
1	1	peer southeast =~ /^Obvious paths: north, northeast, east, southeast, south, southwest, west, northwest$/
1	1	peer southwest =~ /^Obvious paths: north, northeast, east, northwest$/
1	1	peer southwest =~ /^Obvious paths: north, northeast, east, southeast$/
1	1	peer southwest =~ /^Obvious paths: north, northeast, east, southeast, south, northwest$/
1	1	peer southwest =~ /^Obvious paths: north, northeast, east, southeast, south, west, northwest$/
1	1	peer sw =~ /Obvious paths: north, northeast, south, northwest/
1	1	peer sw =~ /Obvious paths: northeast/
1	1	peer sw =~ /expansive stone door/
1	1	peer trapdoor =~ /Clumps of dirt make the travel here uneven and bumpy/
1	1	peer up =~ /^Obvious exits: west, down/
1	1	peer west =~ /\[Dark Shrine, Large Chamber\]/
1	1	peer west =~ /^Obvious (?:paths|exits): east, west, northwest/
1	1	peer west =~ /^Obvious (?:paths|exits): northeast, east, west, northwest/
1	1	peer west =~ /^Obvious (?:paths|exits): northeast, east/
1	1	peer west =~ /^Obvious exits: east$/
1	1	peregrine
1	1	phang
1	1	phoenix
1	1	pixiehunt
1	1	plat lodge
1	1	platinum lodge
1	1	poohbah
1	1	poorquarter
1	1	pp:oberwood
1	1	premium trove
1	1	property trove
1	1	ps:banthal
1	1	ps:nonie
1	1	ps:teclys
1	1	pub
1	1	purser
1	1	pylon
1	1	raincail
1	1	ranger guild shop
1	1	reagent
1	1	reim
1	1	reim task
1	1	reim:vortex
1	1	repair
1	1	repairs
1	1	restaurant
1	1	restricted:11485:skill:climbing:15
1	1	restricted:7918:skill:climbing:100
1	1	retrone
1	1	ringleader
1	1	rogue guild hardlock:case
1	1	rogue guild hardlock:gate
1	1	rogue guild hardlock:hatchway
1	1	roguemasters
1	1	roguetrain
1	1	rol:chaos
1	1	rol:elemental
1	1	rol:order
1	1	rol:planar
1	1	rol:spiritual
1	1	roles
1	1	roneacademy
1	1	ruol
1	1	ryjex
1	1	sablecross
1	1	sadie
1	1	sails
1	1	sands
1	1	sara
1	1	saranja
1	1	saraphenia
1	1	sboard
1	1	sea
1	1	seamstress
1	1	sentry
1	1	set desc on; peer down =~ /^Huge steps .* The floor of the cavern is far below, and anyone who fell over the unprotected edge of the stairway would surely die in the fall./
1	1	set desc on; peer east =~ /^A throne sits in the middle/
1	1	set desc on; peer east =~ /^Climbing a small hill/
1	1	set desc on; peer northeast =~ /^A fur-matted, four-legged creature scurries/
1	1	set desc on; peer northeast =~ /^Moving deeper into the woodlands/
1	1	set desc on; peer out =~ /^A strong sea breeze rushes through,/
1	1	set desc on; peer out =~ /^A woodworking masterpiece, a wooden wheel/
1	1	set desc on; peer out =~ /^Bars for a capstan are stacked/
1	1	set desc on; peer out =~ /^In the shadows cast from the/
1	1	set desc on; peer out =~ /^Situated across from a wheel and/
1	1	set desc on; peer out =~ /^The mizzenmast towers over a capstan,/
1	1	set desc on; peer up =~ /^Huge steps .* Details of the cavern floor far below are lost in the shadowy distance./
1	1	sewer
1	1	sharth
1	1	sheru
1	1	ship dealer
1	1	ship seller
1	1	ships
1	1	shipshull
1	1	shipwheel
1	1	shovel
1	1	silver-cost:1013:1000
1	1	silver-cost:1013:2000
1	1	silver-cost:10838:12500
1	1	silver-cost:10838:35000
1	1	silver-cost:11754:25000
1	1	silver-cost:1261:1000
1	1	silver-cost:1261:2000
1	1	silver-cost:1267:1000
1	1	silver-cost:1870:35000
1	1	silver-cost:19949:1
1	1	silver-cost:221:3000
1	1	silver-cost:2487:3000
1	1	silver-cost:250:10000
1	1	silver-cost:250:12500
1	1	silver-cost:25691:500
1	1	silver-cost:25858:2000
1	1	silver-cost:25971:2000
1	1	silver-cost:25975:2000
1	1	silver-cost:2773:3000
1	1	silver-cost:29033:35000
1	1	silver-cost:30934:250
1	1	silver-cost:31069:3000
1	1	silver-cost:31493:25000
1	1	silver-cost:32075:2000
1	1	silver-cost:32372:12500
1	1	silver-cost:993:1000
1	1	silvergate
1	1	silvergate inn
1	1	songstone
1	1	southgate
1	1	sovyn
1	1	spidersilk apothecary
1	1	spiderweb
1	1	spire
1	1	stablehand
1	1	stands
1	1	stationary
1	1	stationary store
1	1	sunfist grandmaster
1	1	sunny yellow rose
1	1	swarmwall
1	1	sylvan camp
1	1	sylvan glade
1	1	sylvanfair
1	1	sylvanfair annex
1	1	sylvanfair locker
1	1	sylvisterai
1	1	sylvisterai camp
1	1	sylvisterai glade
1	1	tables1
1	1	tables2
1	1	tables3
1	1	tackle gear
1	1	tackle shop
1	1	tackleshop
1	1	tactician
1	0	talondown
1	0	talondown exit
1	1	task
1	1	taskboard
1	1	taskmaster
1	1	tavern
1	1	tc
1	1	tea
1	1	tea shop
1	1	teashop
1	1	telearat
1	1	the falcon
1	1	theater
1	1	throne
1	1	tonis
1	1	tot
1	1	totems
1	1	treasure trove
1	1	trick or treat
1	1	trove 1
1	1	trove 2
1	1	trove 3
1	1	trove 4
1	1	trove npc
1	1	tsalinx
1	1	tsc
1	1	twilight hall
1	1	twilight workshop
1	1	unlocker
1	1	urchin guide amaranthgate
1	1	urchin guide annattogate
1	1	urchin guide beldrins
1	1	urchin guide blacksmith
1	1	urchin guide briarstone
1	1	urchin guide catwalk
1	1	urchin guide citygate
1	1	urchin guide clovertooth
1	1	urchin guide common
1	1	urchin guide dais
1	1	urchin guide dancingdahcre
1	1	urchin guide drawbridge
1	1	urchin guide eastcart
1	1	urchin guide eastgate
1	1	urchin guide easttower
1	1	urchin guide ferry
1	1	urchin guide friths
1	1	urchin guide garden
1	1	urchin guide goldenhelm
1	1	urchin guide hearthstone
1	1	urchin guide helgas
1	1	urchin guide helgreths
1	1	urchin guide keep
1	1	urchin guide kingscourt
1	1	urchin guide lighthouse
1	1	urchin guide losthome
1	1	urchin guide malwith
1	1	urchin guide market
1	1	urchin guide marketbridge
1	1	urchin guide messageboard
1	1	urchin guide monument
1	1	urchin guide moonglae
1	1	urchin guide moothall
1	1	urchin guide nightowl
1	1	urchin guide northmarket
1	1	urchin guide osaguild
1	1	urchin guide pipeden
1	1	urchin guide poorquarter
1	1	urchin guide portmaster
1	1	urchin guide purser
1	1	urchin guide safehaven
1	1	urchin guide sanctuary
1	1	urchin guide shimmarglin
1	1	urchin guide southgate
1	1	urchin guide statue
1	1	urchin guide tc
1	1	urchin guide thrak
1	1	urchin guide tinctures
1	1	urchin guide tower
1	1	urchin guide tsc
1	1	urchin guide vermiliongate
1	1	urchin guide victorygate
1	1	urchin guide wayside
1	1	urchin guide westcart
1	1	vaalor citizen lounge
1	1	vaalor handler
1	1	vermiliongate
1	1	victorygate
1	1	voaris
1	1	vortex
1	1	vote
1	1	voting
1	1	wads
1	1	wadsworth
1	1	warrior guild boxes
1	1	warrior guild dark chamber
1	1	warrior guild ice
1	1	warrior guild master
1	1	warrior guild metal door
1	1	warrior guild tool rack
1	1	warrior guild tubs
1	1	warrior guild wheels
1	1	warrior guild wood door
1	1	warrior guild workshop
1	1	warrior tool rack
1	1	wayside
1	1	well
1	1	westcart
1	1	wheel
1	1	whirlin
1	1	white feverfew bloom
1	1	willow
1	1	wind cave
1	1	wishing well
1	1	witchhunt
1	1	witchhut
1	1	wizard guild master
1	1	wlhelden
1	1	workshop:paupers
1	1	workshop:phoenix
1	1	workshop:silvergate
1	1	xec
1	1	xilona
1	1	ylandra dark tower

# META -- 48 namespaces
# count	namespace	value
2401	playershop	
62	che	House of the Argent Aspis
60	che	Helden Hall
57	che	Willow Hall
56	che	House Sovyn
55	che	Cairnfang Manor
54	che	Obsidian Tower
51	che	Twilight Hall
44	che	House of Paupers
43	che	House Sylvanfair
42	che	Silvergate Inn
42	che	Silvergate Manor
41	che	Beacon Hall Archive
40	che	Moonstone Abbey
38	che	White Haven
31	che	House of the Rising Phoenix
30	che	House Brigatta
19	che	paupers:locker
18	che	silvergate_inn:locker
17	che	paupers:entrance_locker
17	che	silvergate_inn:entrance_locker
16	che	twilight_hall:locker
14	che	cairnfang_manor:locker
13	che	arcane_masters:entrance_locker
13	che	arcane_masters:locker
13	che	brigatta:entrance_locker
13	che	brigatta:locker
13	che	cairnfang_manor:entrance_locker
13	che	sovyn:entrance_locker
13	che	sovyn:locker
13	che	sylvanfair:locker
13	che	twilight_hall:entrance_locker
13	che	white_haven:locker
13	che	willow_hall:locker
12	che	helden_hall:entrance_locker
12	che	helden_hall:locker
12	che	rone_academy:locker
12	che	sylvanfair:entrance_locker
12	che	willow_hall:entrance_locker
11	che	argent_aspis:locker
11	che	rone_academy:entrance_locker
11	che	white_haven:entrance_locker
10	che	arcane_masters:entrance_annex
10	che	argent_aspis:entrance
10	che	brigatta:entrance_annex
10	che	cairnfang_manor:entrance_annex
10	che	helden_hall:entrance_annex
10	che	paupers:entrance_annex
10	che	rone_academy:entrance_annex
10	che	sovyn:entrance_annex
10	che	sylvanfair:entrance_annex
10	che	twilight_hall:entrance_annex
10	che	white_haven:entrance_annex
10	che	willow_hall:entrance_annex
9	che	silvergate_inn:entrance_annex
3	che	beacon_hall:locker
2	che	obsidian_tower:locker
1	che	Arcane Masters
1	che	arcane_masters:entrance_che
1	che	brigatta:entrance_che
1	che	cairnfang_manor:entrance_che
1	che	helden_hall:entrance_che
1	che	obsidian_tower:entrance_annex
1	che	obsidian_tower:entrance_che
1	che	obsidian_tower:entrance_locker
1	che	paupers:entrance_che
1	che	rone_academy:entrance_che
1	che	silvergate_inn:entrance_che
1	che	sovyn:entrance_che
1	che	sylvanfair:entrance_che
1	che	twilight_hall:entrance_che
1	che	white_haven:entrance_che
1	che	willow_hall:entrance_che
667	nomagic	
211	fest	grawood
186	fest	anfelt
113	fest	velathae
75	fest	highman
4	fest	fof
1	fest	frontier
65	mapcategory	Wehnimer's Landing
53	mapcategory	Guilds
43	mapcategory	Elven Nations
41	mapcategory	Icemule Trace
22	mapcategory	CHE
20	mapcategory	Vornavis
17	mapcategory	River's Rest
17	mapcategory	Teras Isle
15	mapcategory	Premium
14	mapcategory	Events and Festivals
14	mapcategory	Towns
13	mapcategory	Zul Logoth
12	mapcategory	MHO
10	mapcategory	Isle of the Four Winds
6	mapcategory	Kraken's Fall
5	mapcategory	Neighborhoods
4	mapcategory	Other
4	mapcategory	Quests
1	mapcategory	CHE:Twilight Hall Annex (Elven Nations)
1	mapcategory	Dyer's Tents:Cysaegir
1	mapcategory	Dyer's Tents:Icemule Trace
1	mapcategory	Dyer's Tents:Isle of the Four Winds
1	mapcategory	Dyer's Tents:River's Rest
1	mapcategory	Dyer's Tents:Solhaven
1	mapcategory	Dyer's Tents:Ta'Illistim
1	mapcategory	Dyer's Tents:Ta'Vaalor
1	mapcategory	Dyer's Tents:Teras Isle
1	mapcategory	Dyer's Tents:Wehnimer's Landing
1	mapcategory	Dyer's Tents:Zul Logoth
1	mapcategory	Elven Nations:Twilight Hall Annex
1	mapcategory	Open Sea Adventures
1	mapcategory	Open Sea Adventures:Docks (WL)
206	map	multi-uid
40	map	ignore-blanks
16	map	virtual room
2	map	ignore-selfpath
1	map	close and open door
231	teleport	fwi
16	teleport	
235	splashy	
1	mapname	Abbey
1	mapname	Adventurer's Guild
1	mapname	Baile Dragan
1	mapname	Black Hand Trading Company - Wehnimer's Landing
1	mapname	Den of Rot
1	mapname	Duskruin
1	mapname	Ebon Gate - Naidem 2022 - Part 1
1	mapname	Ebon Gate - Naidem 2022 - Part 2
1	mapname	Ebon Gate/Caligos Isle 5119
1	mapname	Elemental Confluence, The
1	mapname	Elven Nations - Aradhul Road
1	mapname	Elven Nations - Cysaegir
1	mapname	Elven Nations - Cysaegir - Dyer's Dent
1	mapname	Elven Nations - Fearling Pass
1	mapname	Elven Nations - Gyldemar
1	mapname	Elven Nations - Maaghara Tower
1	mapname	Elven Nations - Old Ta'Faendryl
1	mapname	Elven Nations - Ravelin
1	mapname	Elven Nations - Skull Temple
1	mapname	Elven Nations - Sylvarraend Road
1	mapname	Elven Nations - Ta'Illistim
1	mapname	Elven Nations - Ta'Illistim - Dyer's Tent
1	mapname	Elven Nations - Ta'Illistim - Isharn Enclave
1	mapname	Elven Nations - Ta'Illistim Buildings
1	mapname	Elven Nations - Ta'Illistim Cleric Guild
1	mapname	Elven Nations - Ta'Illistim Embassies
1	mapname	Elven Nations - Ta'Illistim Ranger Guild
1	mapname	Elven Nations - Ta'Illistim Rogue Guild
1	mapname	Elven Nations - Ta'Illistim Sapphire Gate
1	mapname	Elven Nations - Ta'Illistim Sorcerer Guild
1	mapname	Elven Nations - Ta'Illistim Warrior Guild
1	mapname	Elven Nations - Ta'Illistim Wizard Guild
1	mapname	Elven Nations - Ta'Vaalor
1	mapname	Elven Nations - Ta'Vaalor - Cleric Guild
1	mapname	Elven Nations - Ta'Vaalor - Dancing Dahcre
1	mapname	Elven Nations - Ta'Vaalor - Dyer's Tent
1	mapname	Elven Nations - Ta'Vaalor - Rogue Guild
1	mapname	Elven Nations - Ta'Vaalor - Sorcerer Guild
1	mapname	Elven Nations - Ta'Vaalor - Wyvern Keep
1	mapname	Elven Nations - Ta'Vaalor Cemetary and Neartofar Forest
1	mapname	Elven Nations - Trail (Locksmehr River/West of Dragonspine)
1	mapname	Elven Nations - Twilight Hall Annex
1	mapname	Elven Nations - Victory Road
1	mapname	Elven Nations - Whistler's Pass
1	mapname	Elven Nations - Wildwood
1	mapname	Four Winds - Warrior Guild
1	mapname	Grimswarm Warcamp
1	mapname	Gryphon's Holding - Wehnimer's Landing
1	mapname	Helden Hall - Wehnimer's Landing
1	mapname	Icemule Trace
1	mapname	Icemule Trace - Beacon Hall Annex
1	mapname	Icemule Trace - Bramble Patch
1	mapname	Icemule Trace - Cleric Guild
1	mapname	Icemule Trace - Clovertooth Hall
1	mapname	Icemule Trace - East, West and North Gates
1	mapname	Icemule Trace - Empath Guild
1	mapname	Icemule Trace - Fenog's Lodge
1	mapname	Icemule Trace - Hinterwilds
1	mapname	Icemule Trace - House White Haven (Map #1)
1	mapname	Icemule Trace - House White Haven (Map #2)
1	mapname	Icemule Trace - ICICLE
1	mapname	Icemule Trace - Icemule Hall (PRO Hall)
1	mapname	Icemule Trace - Moonsedge
1	mapname	Icemule Trace - Moonsedge Crypt
1	mapname	Icemule Trace - Moonsedge Road & Crawling Shore
1	mapname	Icemule Trace - Pinefar
1	mapname	Icemule Trace - Pinefar Trading Post
1	mapname	Icemule Trace - Ranger Guild
1	mapname	Icemule Trace - Rift, The
1	mapname	Icemule Trace - Rogue Guild
1	mapname	Icemule Trace - Scatter, The
1	mapname	Icemule Trace - Silvermule Gaming Hall
1	mapname	Icemule Trace - Sorcerer Guild
1	mapname	Icemule Trace - South Gate Wilds
1	mapname	Icemule Trace - Stout Street Armory
1	mapname	Icemule Trace - Temple
1	mapname	Icemule Trace - The Settlement of Reim
1	mapname	Icemule Trace - Town Walls
1	mapname	Icemule Trace - Trail to Wehnimer's Landing
1	mapname	Icemule Trace - Twilight Hall Annex
1	mapname	Icemule Trace - Underground
1	mapname	Icemule Trace - Wizard Guild
1	mapname	Icemule's Trace - Dyer's Tent
1	mapname	Icewall Penitentiary
1	mapname	Isle of the Four Winds - Cleric Guild
1	mapname	Isle of the Four Winds - Dyer's Tent
1	mapname	Isle of the Four Winds - Eastern Waterway
1	mapname	Isle of the Four Winds - Empath Guild
1	mapname	Isle of the Four Winds - Mist Harbor
1	mapname	Isle of the Four Winds - Monsoon Lagoon
1	mapname	Isle of the Four Winds - Rogue Guild
1	mapname	Isle of the Four Winds - Wilds
1	mapname	Iyo Glade
1	mapname	Kraken's Fall
1	mapname	Kraken's Fall - Atoll
1	mapname	Kraken's Fall - Hand of the Arkati
1	mapname	Kraken's Fall - Inking Den
1	mapname	Kraken's Fall - Widowmaker's Road
1	mapname	Kraken's Fall - Wizard Guild
1	mapname	Mist Harbor - Wizard Guild
1	mapname	Neighborhood of Elven Nations and Solhaven
1	mapname	Neighborhoods of Icemule Trace and Pinefar
1	mapname	Neighborhoods of Teras Isle and River's Rest
1	mapname	Neighborhoods of Wehnimer's Landing #1
1	mapname	Neighborhoods of Wehnimer's Landing #2
1	mapname	Obsidian Tower - Wehnimer's Landing
1	mapname	Open Sea Adventures - Vessels and Warships
1	mapname	Premium Halls of Elanthia
1	mapname	Quests - Night at the Academy
1	mapname	Quests - Reim Fortress and Base Camp
1	mapname	Quests - The Settlement of Reim
1	mapname	Quests - Troubled Waters
1	mapname	Red Forest, The
1	mapname	River's Rest
1	mapname	River's Rest - Beacon Hall Archive
1	mapname	River's Rest - Citadel
1	mapname	River's Rest - Cleric Guild
1	mapname	River's Rest - Dyer's Tent
1	mapname	River's Rest - Empath Guild
1	mapname	River's Rest - Maelstrom Bay
1	mapname	River's Rest - Marsh Keep
1	mapname	River's Rest - Ranger Guild
1	mapname	River's Rest - Rogue Guild
1	mapname	River's Rest - Sorcerer Guild
1	mapname	River's Rest - Warrens
1	mapname	River's Rest - Wizard Guild
1	mapname	Rone Academy - Wehnimer's Landing
1	mapname	Sanctum of Scales
1	mapname	Solhaven Dyer's Tent
1	mapname	Sorcerer Guild (FWI)
1	mapname	Summit Academy and Sylinar's Spire
1	mapname	Ta'Illistim - Empath Guild
1	mapname	Ta'Illistim - Journey's End
1	mapname	Ta'Vaalor - Empath Guild
1	mapname	Ta'Vaalor - Wizard Guild
1	mapname	Teras Isle - Adventurer's Rest
1	mapname	Teras Isle - Cleric Guild
1	mapname	Teras Isle - Dyer's Tent
1	mapname	Teras Isle - Empath Guild
1	mapname	Teras Isle - Eye of V'Tull
1	mapname	Teras Isle - F'Eyrie
1	mapname	Teras Isle - Fhorian Village
1	mapname	Teras Isle - Kharam-Dzu
1	mapname	Teras Isle - Kragnek-Dzu
1	mapname	Teras Isle - Nelemar
1	mapname	Teras Isle - Rogue Guild
1	mapname	Teras Isle - Sorcerer Guild
1	mapname	Teras Isle - Wizard Guild
1	mapname	The Docks and Rusty Cutless - Wehnimer's Landing
1	mapname	Trail to Vornavis
1	mapname	Vardar Hollow
1	mapname	Vornavis - Cairnfang Manor
1	mapname	Vornavis - Caravansary
1	mapname	Vornavis - Cleric Guild
1	mapname	Vornavis - Foggy Valley
1	mapname	Vornavis - Forgotten Vineyard
1	mapname	Vornavis - North Beach
1	mapname	Vornavis - Outlands
1	mapname	Vornavis - Ranger Guild
1	mapname	Vornavis - Rogue Guild
1	mapname	Vornavis - Solhaven
1	mapname	Vornavis - Solhaven Lockers
1	mapname	Vornavis - Sorcerer Guild
1	mapname	Vornavis - Sunholm
1	mapname	Warrior Guilds
1	mapname	Wehnimer's Landing - Argent Aspis
1	mapname	Wehnimer's Landing - Beacon Hall Annex
1	mapname	Wehnimer's Landing - Black Wolves
1	mapname	Wehnimer's Landing - Broken Lands
1	mapname	Wehnimer's Landing - Burrow Way
1	mapname	Wehnimer's Landing - Catacombs
1	mapname	Wehnimer's Landing - Cavernhold
1	mapname	Wehnimer's Landing - Cleric Guild
1	mapname	Wehnimer's Landing - Coastal Cliffs
1	mapname	Wehnimer's Landing - Danjirland
1	mapname	Wehnimer's Landing - Darkstone Castle
1	mapname	Wehnimer's Landing - Deadfall Forest
1	mapname	Wehnimer's Landing - Ebonstone Manor
1	mapname	Wehnimer's Landing - Empath Guild
1	mapname	Wehnimer's Landing - Faendryl Enclave
1	mapname	Wehnimer's Landing - Graveyard
1	mapname	Wehnimer's Landing - Halcyon Hills
1	mapname	Wehnimer's Landing - Hearthstone Manor
1	mapname	Wehnimer's Landing - House Brigatta (Map 2)
1	mapname	Wehnimer's Landing - House Daingneach Onoir
1	mapname	Wehnimer's Landing - House Of The Rising Phoenix
1	mapname	Wehnimer's Landing - House Paupers
1	mapname	Wehnimer's Landing - House Sovyn
1	mapname	Wehnimer's Landing - House Sylvanfair
1	mapname	Wehnimer's Landing - House of the Arcane Masters
1	mapname	Wehnimer's Landing - Lysierian Hills
1	mapname	Wehnimer's Landing - Moot Hall
1	mapname	Wehnimer's Landing - Museum
1	mapname	Wehnimer's Landing - Old Mine Road
1	mapname	Wehnimer's Landing - Order of the Sphere and Scythe
1	mapname	Wehnimer's Landing - Outside Gates
1	mapname	Wehnimer's Landing - Ranger Guild
1	mapname	Wehnimer's Landing - Reignbeau Caverns (Dyer's Tent)
1	mapname	Wehnimer's Landing - Rogue Guild
1	mapname	Wehnimer's Landing - Silvergate Inn
1	mapname	Wehnimer's Landing - Sorcerer Guild
1	mapname	Wehnimer's Landing - Spider Temple
1	mapname	Wehnimer's Landing - Stone Baths
1	mapname	Wehnimer's Landing - Stronghold and Thanatoph
1	mapname	Wehnimer's Landing - Swale, The
1	mapname	Wehnimer's Landing - Talador Festival Grounds
1	mapname	Wehnimer's Landing - Talador Hunting East
1	mapname	Wehnimer's Landing - Talador Hunting West
1	mapname	Wehnimer's Landing - Town Map
1	mapname	Wehnimer's Landing - Twilight Hall
1	mapname	Wehnimer's Landing - Upper Trollfang
1	mapname	Wehnimer's Landing - Wehntoph
1	mapname	Wehnimer's Landing - Willow Hall
1	mapname	Wehnimer's Landing - Wizard Guild
1	mapname	Windfellow's Retreat
1	mapname	Zul Logoth - Cleric Guild
1	mapname	Zul Logoth - Czeroth Labyrinth
1	mapname	Zul Logoth - Dyer's Tent
1	mapname	Zul Logoth - Eorgina's Palace & Li'aerion
1	mapname	Zul Logoth - Ranger Guild
1	mapname	Zul Logoth - Rogue Guild
1	mapname	Zul Logoth - Sorcerer Guild
1	mapname	Zul Logoth - Stormpeak
1	mapname	Zul Logoth - The Hive
1	mapname	Zul Logoth - Town Map
1	mapname	Zul Logoth - Wizard Guild
1	mapname	fest-albatross
1	mapname	fest-ebon_gate
1	mapname	fest-festival_of_the_fallen
1	mapname	fest-highman_games
1	mapname	fest-lumnea
1	mapname	fest-midsummers-night
1	mapname	fest-picklefest
1	mapname	fest-spitfire
24	locker annex	House Sylvanfair
21	locker annex	Twilight Hall
18	locker annex	House Brigatta
18	locker annex	Obsidian Tower
17	locker annex	House Sovyn
16	locker annex	House of Paupers
16	locker annex	House of the Rising Phoenix
16	locker annex	Rone Academy
16	locker annex	Silvergate Inn
15	locker annex	White Haven
15	locker annex	Willow Hall
11	locker annex	Beacon Hall Archive
4	locker annex	Helden Hall
1	locker annex	Cairnfang Manor
6	mapshortname	Dyer's Tent
1	mapshortname	Abbey
1	mapshortname	Adventurer's Rest
1	mapshortname	Aradhul Road
1	mapshortname	Argent Aspis
1	mapshortname	Atoll
1	mapshortname	Baile Dragan
1	mapshortname	Beacon Hall Annex
1	mapshortname	Beacon Hall Archive
1	mapshortname	Beacon Hall IMT Annex
1	mapshortname	Black Hand
1	mapshortname	Black Wolves
1	mapshortname	Bramble Patch
1	mapshortname	Broken Lands
1	mapshortname	Burrow Way
1	mapshortname	Cairnfang Manor
1	mapshortname	Caravansary
1	mapshortname	Catacombs
1	mapshortname	Cavernhold
1	mapshortname	Cemetary/Neartofar Forest
1	mapshortname	Citadel
1	mapshortname	Cleric Guild (FWI)
1	mapshortname	Cleric Guild (Icemule)
1	mapshortname	Cleric Guild (River's Rest)
1	mapshortname	Cleric Guild (Ta'Illistim)
1	mapshortname	Cleric Guild (Ta'Vaalor)
1	mapshortname	Cleric Guild (Teras)
1	mapshortname	Cleric Guild (VO)
1	mapshortname	Cleric Guild (Wehnimer's)
1	mapshortname	Cleric Guild (Zul Logoth)
1	mapshortname	Clovertooth Hall
1	mapshortname	Coastal Cliffs
1	mapshortname	Cysaegir
1	mapshortname	Cysaegir - Dyer's Dent
1	mapshortname	Czeroth Labyrinth
1	mapshortname	Danjirland
1	mapshortname	Darkstone Castle
1	mapshortname	Deadfall Forest
1	mapshortname	Docks and Rusty Cutlass
1	mapshortname	East, West and North Gates
1	mapshortname	Eastern Waterway
1	mapshortname	Ebon Gate - Naidem 2022 - Part 1
1	mapshortname	Ebon Gate - Naidem 2022 - Part 2
1	mapshortname	Ebonstone Manor
1	mapshortname	Elemental Confluence
1	mapshortname	Empath Guild (FWI)
1	mapshortname	Empath Guild (Icemule)
1	mapshortname	Empath Guild (River's Rest)
1	mapshortname	Empath Guild (Ta'Illistim)
1	mapshortname	Empath Guild (Ta'Vaalor)
1	mapshortname	Empath Guild (Teras)
1	mapshortname	Empath Guild (Wehnimer's)
1	mapshortname	Eorgina's Palace and Li'aerion
1	mapshortname	Eye of V'Tull
1	mapshortname	F'Eyrie
1	mapshortname	Faendryl Enclave
1	mapshortname	Fearling Pass
1	mapshortname	Fenog's Lodge
1	mapshortname	Fhorian Village
1	mapshortname	Foggy Valley
1	mapshortname	Forgotten Vineyard
1	mapshortname	Graveyard
1	mapshortname	Gryphon's Holding
1	mapshortname	Gyldemar
1	mapshortname	Halcyon Hills
1	mapshortname	Hand of the Arkati
1	mapshortname	Hearthstone Manor
1	mapshortname	Helden Hall
1	mapshortname	Hinterwilds
1	mapshortname	House Brigatta (Map 2)
1	mapshortname	House Daingneach Onoir
1	mapshortname	House Of The Rising Phoenix
1	mapshortname	House Paupers
1	mapshortname	House Sovyn
1	mapshortname	House Sylvanfair
1	mapshortname	House White Haven (Map #1)
1	mapshortname	House White Haven (Map #2)
1	mapshortname	House of the Arcane Masters
1	mapshortname	ICICLE (IMT)
1	mapshortname	Icemule Hall (PRO Hall)
1	mapshortname	Inking Den
1	mapshortname	Isharn Enclave
1	mapshortname	Journey's End
1	mapshortname	Kharam-Dzu
1	mapshortname	Kragnek-Dzu
1	mapshortname	Locksmehr River Trail
1	mapshortname	Lysierian Hills
1	mapshortname	Maaghara Tower
1	mapshortname	Maelstrom Bay
1	mapshortname	Marsh Keep
1	mapshortname	Mist Harbor
1	mapshortname	Monsoon Lagoon
1	mapshortname	Moonsedge
1	mapshortname	Moonsedge Crypt
1	mapshortname	Moonsedge Road & Crawling Shore
1	mapshortname	Moot Hall
1	mapshortname	Museum
1	mapshortname	Nelemar
1	mapshortname	Night at the Academy
1	mapshortname	North Beach
1	mapshortname	OSA Ships
1	mapshortname	Obsidian Tower
1	mapshortname	Old Mine Road
1	mapshortname	Old Ta'Faendryl
1	mapshortname	Order of the Sphere and Scythe
1	mapshortname	Outlands
1	mapshortname	Outside Gates
1	mapshortname	Pinefar
1	mapshortname	Pinefar Trading Post
